GW,HOME,AWAY,HOME538,AWAY538,FIXTURE_CODE,HOME_SCORE,AWAY_SCORE
1,BUR,MCI,11,73,BURMCI,0,3
1,ARS,NOT,75,8,ARSNOT,2,1
1,BOU,WHU,31,43,BOUWHU,1,1
1,BHA,LUT,55,24,BHALUT,4,1
1,EVE,FUL,45,29,EVEFUL,0,1
1,SHU,CRY,44,29,SHUCRY,0,1
1,NEW,AVL,51,24,NEWAVL,5,1
1,BRF,TOT,28,50,BRFTOT,2,2
1,CHE,LIV,32,44,CHELIV,1,1
1,MUN,WOL,71,10,MUNWOL,1,0
2,NOT,SHU,40,30,NOTSHU,2,1
2,FUL,BRF,36,35,FULBRF,0,3
2,LIV,BOU,76,8,LIVBOU,3,1
2,WOL,BHA,32,37,WOLBHA,1,4
2,TOT,MUN,39,32,TOTMUN,2,0
2,MCI,NEW,69,11,MCINEW,1,0
2,AVL,EVE,46,26,AVLEVE,4,0
2,WHU,CHE,34,37,WHUCHE,3,1
2,CRY,ARS,26,45,CRYARS,0,1
3,CHE,LUT,61,16,CHELUT,3,0
3,BOU,TOT,21,53,BOUTOT,0,2
3,ARS,FUL,55,19,ARSFUL,2,2
3,BRF,CRY,47,25,BRFCRY,1,1
3,EVE,WOL,38,32,EVEWOL,0,1
3,MUN,NOT,62,15,MUNNOT,3,2
3,BHA,WHU,42,29,BHAWHU,1,3
3,BUR,AVL,32,39,BURAVL,1,3
3,SHU,MCI,12,65,SHUMCI,1,2
3,NEW,LIV,27,46,NEWLIV,1,2
4,LUT,WHU,31,42,LUTWHU,1,2
4,SHU,EVE,35,34,SHUEVE,2,2
4,BRF,BOU,56,19,BRFBOU,2,2
4,BUR,TOT,25,47,BURTOT,2,5
4,CHE,NOT,58,17,CHENOT,0,1
4,MCI,FUL,72,9,MCIFUL,5,1
4,BHA,NEW,40,32,BHANEW,3,1
4,CRY,WOL,39,31,CRYWOL,3,2
4,LIV,AVL,60,16,LIVAVL,3,0
4,ARS,MUN,43,29,ARSMUN,3,1
5,WOL,LIV,20,53,WOLLIV,1,3
5,AVL,CRY,44,27,AVLCRY,3,1
5,FUL,LUT,51,23,FULLUT,1,0
5,MUN,BHA,46,26,MUNBHA,1,3
5,TOT,SHU,59,16,TOTSHU,2,1
5,WHU,MCI,17,60,WHUMCI,1,3
5,NEW,BRF,40,31,NEWBRF,1,0
5,BOU,CHE,24,48,BOUCHE,0,0
5,EVE,ARS,22,51,EVEARS,0,1
5,NOT,BUR,41,30,NOTBUR,1,1
6,CRY,FUL,37,33,CRYFUL,0,0
6,LUT,WOL,34,37,LUTWOL,1,1
6,MCI,NOT,81,6,MCINOT,2,0
6,BRF,EVE,50,23,BRFEVE,1,3
6,BUR,MUN,25,47,BURMUN,0,1
6,ARS,TOT,48,26,ARSTOT,2,2
6,BHA,BOU,57,18,BHABOU,3,1
6,CHE,AVL,45,26,CHEAVL,0,1
6,LIV,WHU,62,15,LIVWHU,3,1
6,SHU,NEW,28,43,SHUNEW,0,8
7,AVL,BHA,38,33,AVLBHA,6,1
7,BOU,ARS,18,56,BOUARS,0,4
7,EVE,LUT,46,27,EVELUT,1,2
7,MUN,CRY,51,21,MUNCRY,0,1
7,NEW,BUR,53,20,NEWBUR,2,0
7,WHU,SHU,53,20,WHUSHU,2,0
7,WOL,MCI,14,62,WOLMCI,2,1
7,TOT,LIV,29,41,TOTLIV,2,1
7,NOT,BRF,30,42,NOTBRF,1,1
7,FUL,CHE,30,40,FULCHE,0,2
7,LUT,BUR,37,37,LUTBUR,1,2
8,LUT,TOT,20,56,LUTTOT,0,1
8,BUR,CHE,26,45,BURCHE,1,4
8,EVE,BOU,45,26,EVEBOU,3,0
8,FUL,SHU,47,24,FULSHU,3,1
8,MUN,BRF,45,27,MUNBRF,2,1
8,CRY,NOT,42,29,CRYNOT,0,0
8,BHA,LIV,25,48,BHALIV,2,2
8,WHU,NEW,36,36,WHUNEW,2,2
8,WOL,AVL,32,38,WOLAVL,1,1
8,ARS,MCI,26,47,ARSMCI,1,0
9,LIV,EVE,67,12,LIVEVE,2,0
9,BOU,WOL,31,39,BOUWOL,1,2
9,BRF,BUR,51,22,BRFBUR,3,0
9,MCI,BHA,69,11,MCIBHA,2,1
9,NEW,CRY,47,24,NEWCRY,4,0
9,NOT,LUT,46,26,NOTLUT,2,2
9,CHE,ARS,35,36,CHEARS,2,2
9,SHU,MUN,21,52,SHUMUN,1,2
9,AVL,WHU,42,30,AVLWHU,4,1
9,TOT,FUL,52,22,TOTFUL,2,0
10,CRY,TOT,27,45,CRYTOT,1,2
10,CHE,BRF,41,29,CHEBRF,0,2
10,BOU,BUR,36,34,BOUBUR,2,1
10,ARS,SHU,67,12,ARSSHU,5,0
10,WOL,NEW,31,40,WOLNEW,2,2
10,WHU,EVE,48,25,WHUEVE,0,1
10,AVL,LUT,59,17,AVLLUT,3,1
10,BHA,FUL,46,26,BHAFUL,1,1
10,LIV,NOT,71,10,LIVNOT,3,0
10,MUN,MCI,23,51,MUNMCI,0,3
